,Name,Location,Suburb,Activity Type,Opening Hours,Latitude,Longitude,On-Premise Disability Parking,On-Premise Parking,Disability Accessible,Ambulant Toilet
83,Smithfield Centre,"Corner Cook & Kennedy Highways, Smithfield",Smithfield,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5:30pm, Sun 9am-6pm",-16.83947044,145.6923247,Yes,Yes,Yes,No
84,Southtown Shopping Centre,"140 South Street, Centenary Heights",Centenary Heights,Shopping Centre,OPEN: Variable hours,-27.58022828,151.9621233,Yes,Yes,Yes,No
85,Springfield Fair Shopping Centre,"Corner Springfield Parkway & Topaz Road, Springfield",Springfield,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat-Sun 9am-5pm, Thu 9am-9pm",-27.65334782,152.9187205,Yes,Yes,Yes,No
86,Stanthorpe Plaza Shopping Centre,"Corner High & Lock Streets, Stanthorpe",Stanthorpe,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm",-28.65421868,151.9352902,No,Yes,Yes,No
87,Station Square Shopping Centre,"142 Lennox Street, Maryborough",Maryborough,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm",-25.5394,152.699525,Yes,Yes,Yes,No
88,Stockland Burleigh Heads,"149 West Burleigh Road, Burleigh Heads",Burleigh Heads,Shopping Centre,"OPEN: Mon-Fri 8:30am-9pm, Sat 8:30am-6pm, Sun 9am-6pm",-28.0975253,153.4416568,Yes,Yes,Yes,No
89,Stockland Cairns,"537 Mulgrave Road, Earlville",Earlville,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10:30am-4pm",-16.94333694,145.739984,Yes,Yes,Yes,No
90,Stockland Caloundra,"47 Bowman Road, Caloundra",Caloundra,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5:30pm, Sun 9am-6pm",-26.80285524,153.1253727,Yes,Yes,Yes,No
91,Stockland Cleveland,"91 Middle Street, Cleveland",Cleveland,Shopping Centre,"OPEN: Mon-Fri 8:30am-9pm, Sat-Sun 8:30am-6pm",-27.52548181,153.2684098,Yes,Yes,Yes,No
92,Stockland Gladstone,"Corner Dawson Highway & Philip Street, Gladstone",Gladstone,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-8pm, Sat 9am-3pm, Sun 10am-4pm",-23.87035,151.24105,Yes,Yes,Yes,No
93,Stockland Bundaberg,"115 Takalvan Street, Avoca",Avoca,Shopping Centre,OPEN: 9am-9pm,-24.88769925,152.3185784,Yes,Yes,Yes,Yes
94,Sunny Park Shopping Centre,"Corner Mains Road & McCullough Street, Sunnybank",Sunnybank,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 9am-4pm, Thu 9am-9pm, Sun 11am-4pm",-27.57134561,153.0651671,Yes,Yes,Yes,No
95,Sunnybank Hills Shoppingtown,"661 Compton Road (Corner Calam & Compton Roads), Sunnybank Hills",Sunnybank Hills,Shopping Centre,"OPEN: Mon-Sat 7am-9pm, Sun 9am-6pm",-27.61065402,153.0554608,Yes,Yes,Yes,Yes
96,Sunnybank Plaza Shopping Centre,"Corner Mains Road & McCullough Street, Sunnybank",Sunnybank,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8:30am-5pm, Sun 9am-5pm",-27.57044381,153.0629653,Yes,Yes,Yes,No
97,Sunshine Plaza,"Horton Parade, Maroochydore",Maroochydore,Shopping Centre,"OPEN: Mon-Wed,Fri-Sat 9am-5:30pm, Sun 10:30am-4pm, Thu 9am-9pm",-26.65313736,153.0905894,Yes,Yes,Yes,No
98,Sunshine Coast Home,"100 Maroochydore Road, Maroochydore",Maroochydore,Shopping Centre,"OPEN: Mon-Sat 9am-5pm, Sun 10am-4pm",-26.65141317,153.0809658,Yes,Yes,Yes,No
99,The Gap Village Shopping Centre,"1000 Waterworks Road, The Gap",The Gap,Shopping Centre,OPEN: Variable hours,-27.44558667,152.9521052,Yes,Yes,Yes,No
100,The Oasis Shopping Centre,"Victoria Avenue, Broadbeach",Broadbeach,Shopping Centre,"OPEN: Mon-Wed,Fri-Sat 9am-5:30pm, Thu 9am-7pm, Sun 10:30am-4pm",-28.02947198,153.4328476,Yes,Yes,Yes,No
101,Toowong Village,"9 Sherwood Road, Toowong",Toowong,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 9am-4pm, Sun 10am-4pm, Thu 9am-9pm",-27.48499459,152.9921973,Yes,No,Yes,No
102,Town Centre at Victoria Point,"Colburn Avenue, Victoria Point",Victoria Point,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 9am-5pm, Sun 10am-6pm",-27.58502837,153.2832966,Yes,Yes,Yes,No
103,Valley Metro,"230 Brunswick Street, Fortitude Valley",Fortitude Valley,Shopping Centre,"OPEN: Mon-Fri 6am-8pm, Sat 5am-8pm, Sun 6am-4pm",-27.45638006,153.0332539,Yes,Yes,Yes,No
104,Vincent Shopping Centre,"Corner of Fulham Road & Nathan Street, Vincent",Vincent,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5:30pm, Sun 10am-6pm",-19.28770233,146.7616651,Yes,Yes,Yes,No
105,Direct Factory Outlet Cairns,"274 MULGRAVE RD, Westcourt",Westcourt,Shopping Centre,OPEN: 9am-5pm,-16.93535,145.75364,Yes,Yes,Yes,No
106,Westfield North Lakes,"Corner Anzac Avenue & Northlakes Drive, Mango Hill",Mango Hill,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Tue,Thu 9am-9pm, Sat 9am-5pm, Sun 10am-4pm",-27.24226666,153.020491,Yes,Yes,Yes,No
107,Westfield Strathpine,"295 Gympie Road, Strathpine",Strathpine,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10am-4pm",-27.30632556,152.9919811,Yes,Yes,Yes,No
108,Westside Fresh Food Fair,"14 Heidke Street, Bundaberg Central",Bundaberg Central,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm",-24.8866,152.3199,Yes,Yes,Yes,No
109,Whitsunday Shopping Centre,"226 Shute Harbour Road, Cannonvale",Cannonvale,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-7pm, Sat 9am-4pm, Sun 10am-2pm",-20.27726,148.69932,Yes,Yes,Yes,No
110,Willows Shoppingtown,"2 Thuringowa Drive, Thuringowa Central",Thuringowa Central,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5:30pm, Sun 7am-6pm",-19.31521,146.72877,Yes,Yes,Yes,No
111,Winston Glades Shopping Centre,"259 Ash Street, Flinders View",Flinders View,Shopping Centre,OPEN: Variable hours,-27.655335,152.75989,Yes,Yes,Yes,No
112,Wintergarden,"Queen Street Mall, Brisbane",Brisbane,Shopping Centre,"OPEN: Mon-Thu 9am-5:30pm, Fri 9am-9pm, Sat 9am-5pm, Sun 10:30am-4pm",-27.46914516,153.0263336,Yes,Yes,Yes,No
113,Woolworths Marketplace,"Corner Albany Forest Drive & Old Northern Road, Albany Creek",Albany Creek,Shopping Centre,"OPEN: Mon-Sat 7am-9pm, Sun 9am-6pm",-27.3592272,152.9693816,Yes,Yes,Yes,No
114,Ascot Plaza,"Racecourse Road, Ascot",Ascot,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-4pm",-27.4337238,153.0651261,Yes,Yes,Yes,No
115,Bribie Island Shopping Centre,"Goodwin Drive, Bongaree",Bongaree,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-27.06371196,153.1570031,Yes,Yes,Yes,No
116,Gatton Plaza,"Spencer Street, Gatton",Gatton,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 9am-4pm",-27.55954052,152.2772563,Yes,Yes,Yes,No
117,Kallangur Fair,"1473 Anzac Avenue, Kallangur",Kallangur,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-27.24946126,153.0002252,Yes,Yes,Yes,No
118,Brassall Shopping Centre,"60 Hunter Street, Brassall",Brassall,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-27.59684272,152.7472,Yes,Yes,Yes,No
119,Kenmore Village Shopping Centre,"9 Brookfield Road, Kenmore",Kenmore,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-7pm, Sat 9am-4pm, Sun 10am-4pm",-27.50643975,152.9385867,Yes,Yes,Yes,No
120,Sunland Plaza,"14 Hervey Range Road, Thuringowa Central",Thuringowa Central,Shopping Centre,OPEN: Variable hours,-19.31814,146.72645,Yes,Yes,Yes,No
121,Centrepoint Plaza,"Corner Herbert Street & The Soldiers Road, Bowen",Bowen,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 8am-12pm",-20.00169594,148.2400783,Yes,Yes,Yes,No
122,Biloela Shoppingworld,"Gladstone Road, Biloela",Biloela,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-7pm, Sat 9am-4pm",-24.40290853,150.5130068,Yes,Yes,Yes,No
123,Bracken Ridge Plaza,"Corner Norris & Telegraph Roads, Bracken Ridge",Bracken Ridge,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 8am-6pm",-27.33018164,153.0260797,Yes,Yes,Yes,No
124,Great Western Super Centre,"1028 Samford Road, Keperra",Keperra,Shopping Centre,"OPEN: Mon-Wed,Fri 8:30am-5:30pm, Thu 8:30am-9pm, Sat 9am-5pm, Sun 9am-6pm",-27.41509352,152.9496871,Yes,Yes,Yes,No
125,Heritage Shopping Centre,"Central Avenue, Weipa Airport",Weipa Airport,Shopping Centre,"OPEN: Mon-Wed,Fri 8am-7pm, Thu 8am-9pm, Sat 8am-5pm",-12.62996153,141.8788987,Yes,Yes,No,No
126,Mt Sheridan Plaza,"106 Barnard Drive, Mount Sheridan",Mount Sheridan,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8:30am-6pm, Sun 9am-6pm",-16.991113,145.739181,Yes,Yes,Yes,No
127,Surfers Paradise,"19 Cavill Avenue, Surfers Paradise",Surfers Paradise,Shopping Centre,OPEN: 24 hours,-28.00192356,153.4289906,No,No,No,No
128,Main Street,"138 Alice Street, Mitchell",Mitchell,Shopping Centre,OPEN: 24 hours,-26.48765708,147.9753197,No,Yes,Yes,No
129,Looranah Street Local,"61 Looranah Street, Jindalee",Jindalee,Shopping Centre,OPEN: 7am-9pm,-27.53240428,152.9418933,Yes,Yes,Yes,No
130,Albert Street,"Albert Street, Brisbane",Brisbane,Shopping Centre,OPEN: 24 hours,-27.46976516,153.0253948,No,No,Yes,No
131,Stones Corner library,"Logan Road, Greenslopes",Greenslopes,Shopping Centre,OPEN: Daylight hours,-27.49792163,153.04367,No,Yes,Yes,No
132,Annandale Central,"101 MacArthur Drive, Annandale",Annandale,Shopping Centre,"OPEN: Mon-Fri 8:30am-5:30pm, Sat 8:30am-4pm, Sun 8:30am-3pm",-19.31673266,146.7908928,Yes,Yes,Yes,No
133,Indooroopilly Shopping Centre,"322 Moggill Road, Indooroopilly",Indooroopilly,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30am, Thu 9am-9pm, Sat 9am-5pm, Sun 10am-4pm",-27.49846593,152.972887,No,No,Yes,No
134,Petrie Village Shopping Centre,"Old Dayboro Road, Petrie",Petrie,Shopping Centre,"OPEN: Fri-Wed 8am-5:30pm, Thu 8am-9pm",-27.2703754,152.9748073,No,Yes,Yes,No
135,Community Shopping Centre,"Resevoir Road, Yarrabah",Yarrabah,Shopping Centre,OPEN: Mon-Fri 8am-5pm,-16.9066,145.86586,No,Yes,No,No
136,Maple Street Kiosk ,"Maple Street, Maleny",Maleny,Shopping Centre,Currently closed,-26.758323,152.852475,No,Yes,Yes,No
137,William Landsborough Park,"Landsborough Parade, Golden Beach",Golden Beach,Shopping Centre,OPEN: Daylight hours,-26.806968,153.123136,No,Yes,Yes,No
